2021-09-12 15:26:15.577453 1861
2021-09-12 15:26:15.583434 1869
2021-09-12 15:26:15.589417 1889
2021-09-12 15:26:15.596396 1856
2021-09-12 15:26:15.602381 1863
2021-09-12 15:26:15.608370 1909
2021-09-12 15:26:15.614353 1921
2021-09-12 15:26:15.621330 1891
2021-09-12 15:26:15.627315 1922
2021-09-12 15:26:15.633299 1936
2021-09-12 15:26:15.639284 1946
2021-09-12 15:26:15.646266 1964
2021-09-12 15:26:15.652249 1940
2021-09-12 15:26:15.658232 1931
2021-09-12 15:26:15.664216 1943
2021-09-12 15:26:15.671196 1968
2021-09-12 15:26:15.677181 1943
2021-09-12 15:26:15.683165 1915
2021-09-12 15:26:15.689149 1937
2021-09-12 15:26:15.696130 1909
2021-09-12 15:26:15.702127 1904
2021-09-12 15:26:15.708099 1933
2021-09-12 15:26:15.714082 1933
2021-09-12 15:26:15.721063 1927
2021-09-12 15:26:15.727220 1921
2021-09-12 15:26:15.733208 1921
2021-09-12 15:26:15.739188 1943
2021-09-12 15:26:15.746168 1959
2021-09-12 15:26:15.752153 1975
2021-09-12 15:26:15.758137 1979
2021-09-12 15:26:15.764122 1959
2021-09-12 15:26:15.771103 1964
2021-09-12 15:26:15.777087 1973
2021-09-12 15:26:15.783078 1950
2021-09-12 15:26:15.789055 1939
2021-09-12 15:26:15.796036 1952
2021-09-12 15:26:15.802025 1936
2021-09-12 15:26:15.808004 1956
2021-09-12 15:26:15.814985 1957
2021-09-12 15:26:15.820975 1979
2021-09-12 15:26:15.826997 1991
2021-09-12 15:26:15.832937 1975
2021-09-12 15:26:15.838922 1958
2021-09-12 15:26:15.846203 1983
2021-09-12 15:26:15.852187 1982
2021-09-12 15:26:15.858175 1985
2021-09-12 15:26:15.864155 1968
2021-09-12 15:26:15.871137 1978
2021-09-12 15:26:15.877125 2035
2021-09-12 15:26:15.883105 2085
2021-09-12 15:26:15.889089 2082
2021-09-12 15:26:15.896071 2019
2021-09-12 15:26:15.902056 2017
2021-09-12 15:26:15.908039 2034
2021-09-12 15:26:15.914022 2007
2021-09-12 15:26:15.921008 1967
2021-09-12 15:26:15.926988 1972
2021-09-12 15:26:15.932976 1980
2021-09-12 15:26:15.939954 1979
2021-09-12 15:26:15.945940 1961
2021-09-12 15:26:15.951921 1947
2021-09-12 15:26:15.957905 1968
2021-09-12 15:26:15.964886 1966
2021-09-12 15:26:15.970899 1941
2021-09-12 15:26:15.976854 1968
2021-09-12 15:26:15.982842 1955
2021-09-12 15:26:15.989819 1936
2021-09-12 15:26:15.995808 1930
2021-09-12 15:26:16.001793 1946
2021-09-12 15:26:16.007772 1957
2021-09-12 15:26:16.014757 1899
2021-09-12 15:26:16.020737 1840
2021-09-12 15:26:16.026722 1889
2021-09-12 15:26:16.033704 1905
2021-09-12 15:26:16.039685 1895
2021-09-12 15:26:16.045670 2342
2021-09-12 15:26:16.051654 2945
2021-09-12 15:26:16.058635 2960
